test,module,cores,MFLOPS
xcl1,foss-2020b,8,74658.6
xdl1,foss-2020b,8,3.00
xsl1,foss-2020b,8,2.00
xzl1,foss-2020b,8,35232.2
xcl2,foss-2020b,8,26098.2
xdl2,foss-2020b,8,21855.1
xsl2,foss-2020b,8,33934.3
xzl2,foss-2020b,8,12130.0
xcl3,foss-2020b,8,635320.1
xdl3,foss-2020b,8,168449.3
xsl3,foss-2020b,8,432804.0
xzl3,foss-2020b,8,323925.1
