nthreads,test,routine,MFLOPS
2,xcl2,geru,7471.06
2,xcl2,ger2c,7509.73
2,xcl2,ger2u,7486.65
2,xcl2,hpr,11338.21
2,xcl2,her,7283.73
2,xcl2,hpr2,19865.11
2,xcl2,her2,11536.35
2,xzl2,gbmv,3132.22
2,xzl2,gemv,5761.77
2,xzl2,hbmv,3365.35
2,xzl2,hpmv,4935.68
2,xzl2,hemv,9582.71
2,xzl2,tbmv,2594.55
2,xzl2,tpmv,4888.76
2,xzl2,trmv,5532.00
2,xzl2,tbsv,985.67
2,xzl2,tpsv,6286.32
2,xzl2,trsv,5688.47
2,xdl2,gbmv,987.07
2,xdl2,gemv,3432.02
2,xdl2,sbmv,1473.22
2,xdl2,spmv,3314.47
2,xdl2,symv,4963.20
2,xdl2,tbmv,624.70
2,xdl2,tpmv,3410.63
2,xdl2,trmv,3274.61
2,xdl2,tbsv,384.10
2,xdl2,tpsv,3607.21
2,xdl2,trsv,3498.25
2,xdl2,ger,2786.30
2,xdl2,ger2,2821.71
2,xdl2,spr,3053.53
2,xdl2,syr,2762.67
2,xdl2,spr2,5647.21
2,xdl2,syr2,5230.43
2,xsl2,gbmv,975.01
2,xsl2,gemv,6997.92
2,xsl2,sbmv,1545.01
2,xsl2,spmv,3524.47
2,xsl2,symv,6103.00
2,xsl2,tbmv,535.16
2,xsl2,tpmv,7064.21
2,xsl2,trmv,6546.36
2,xsl2,tbsv,434.63
2,xsl2,tpsv,7760.15
2,xsl2,trsv,7214.98
2,xsl2,ger,5432.62
2,xsl2,ger2,5450.95
2,xsl2,spr,6417.75
2,xsl2,syr,5171.08
2,xsl2,spr2,12124.11
2,xsl2,syr2,9792.85
2,xcl3,gemm,270980.98
2,xcl3,hemm,270442.31
2,xcl3,herk,209346.48
2,xcl3,her2k,218645.90
2,xcl3,symm,268283.01
2,xcl3,syr2k,220864.00
2,xcl3,syrk,212279.58
2,xcl3,trmm,232235.77
2,xcl3,trsm,134633.72
2,xzl3,gemm,150983.36
2,xzl3,hemm,150713.51
2,xzl3,herk,123218.25
2,xzl3,her2k,122393.52
2,xzl3,symm,148795.66
2,xzl3,syr2k,124593.95
2,xzl3,syrk,124720.56
2,xzl3,trmm,130960.12
2,xzl3,trsm,104995.16
2,xdl3,gemm,128101.40
2,xdl3,symm,125417.57
2,xdl3,syrk,101607.63
2,xdl3,syr2k,104339.77
2,xdl3,trmm,112126.77
2,xdl3,trsm,65472.90
2,xsl3,gemm,227265.12
2,xsl3,symm,215899.31
2,xsl3,syrk,162593.28
2,xsl3,syr2k,179536.76
2,xsl3,trmm,183024.10
2,xsl3,trsm,59019.63
3,xcl1,nrm2,2864.41
3,xcl1,amax,1578.35
3,xcl1,asum,1804.60
3,xcl1,axpy,6817.42
3,xcl1,copy,1969.91
3,xcl1,swap,3150.67
3,xcl1,dotc,7627.03
3,xcl1,dotu,7650.98
3,xzl1,nrm2,2629.43
3,xzl1,amax,1514.95
3,xzl1,asum,1689.81
3,xzl1,axpy,3294.31
3,xzl1,copy,914.83
3,xzl1,swap,1532.86
3,xzl1,dotc,3419.62
3,xzl1,dotu,3430.87
3,xdl1,nrm2,559.86
3,xdl1,amax,2141.82
3,xdl1,asum,1626.08
3,xdl1,axpy,1695.37
3,xdl1,copy,914.21
3,xdl1,swap,1566.41
3,xdl1,dot,2112.86
3,xdl1,rotm,4069.20
3,xsl1,nrm2,664.01
3,xsl1,amax,4756.86
3,xsl1,asum,1706.70
3,xsl1,axpy,3782.20
3,xsl1,copy,2050.97
3,xsl1,swap,3480.72
3,xsl1,dot,4836.90
3,xsl1,rotm,6506.08
3,xsl1,dsdot,1751.21
3,xsl1,sdsdot,1765.72
3,xcl2,gbmv,2699.61
3,xcl2,gemv,10520.76
3,xcl2,hbmv,3455.95
3,xcl2,hpmv,4604.21
3,xcl2,hemv,15175.48
3,xcl2,tbmv,2357.70
3,xcl2,tpmv,5880.46
3,xcl2,trmv,9624.28
3,xcl2,tbsv,1118.66
3,xcl2,tpsv,12910.86
3,xcl2,trsv,10230.53
3,xcl2,gerc,7479.97
3,xcl2,geru,7493.13
3,xcl2,ger2c,7455.82
3,xcl2,ger2u,7471.07
3,xcl2,hpr,11311.06
3,xcl2,her,7310.07
3,xcl2,hpr2,19803.28
3,xcl2,her2,11476.15
3,xzl2,gbmv,3134.58
3,xzl2,gemv,5748.01
3,xzl2,hbmv,3030.23
3,xzl2,hpmv,4927.58
3,xzl2,hemv,9577.38
3,xzl2,tbmv,2612.21
3,xzl2,tpmv,4937.78
3,xzl2,trmv,5463.03
3,xzl2,tbsv,960.50
3,xzl2,tpsv,6245.95
3,xzl2,trsv,5740.15
3,xdl2,gbmv,982.23
3,xdl2,gemv,3422.38
3,xdl2,sbmv,1462.01
3,xdl2,spmv,3309.21
3,xdl2,symv,4980.33
3,xdl2,tbmv,624.82
3,xdl2,tpmv,3429.21
3,xdl2,trmv,3262.36
3,xdl2,tbsv,381.75
3,xdl2,tpsv,3541.62
3,xdl2,trsv,3469.27
3,xdl2,ger,2791.21
3,xdl2,ger2,2806.51
3,xdl2,spr,3057.91
3,xdl2,syr,2749.65
3,xdl2,spr2,5619.96
3,xdl2,syr2,5169.55
3,xsl2,gbmv,978.21
3,xsl2,gemv,7030.71
3,xsl2,sbmv,1525.57
3,xsl2,spmv,3560.31
3,xsl2,symv,6131.82
3,xsl2,tbmv,515.70
3,xsl2,tpmv,7273.75
3,xsl2,trmv,6538.22
3,xsl2,tbsv,436.72
3,xsl2,tpsv,7825.38
3,xsl2,trsv,7282.32
3,xsl2,ger,5397.08
3,xsl2,ger2,5423.47
3,xsl2,spr,6464.82
3,xsl2,syr,5222.01
3,xsl2,spr2,11697.68
3,xsl2,syr2,9711.75
3,xcl3,gemm,377652.76
3,xcl3,hemm,370581.05
3,xcl3,herk,272325.10
3,xcl3,her2k,293141.51
3,xcl3,symm,376486.78
3,xcl3,syr2k,289426.78
3,xcl3,syrk,275228.90
3,xcl3,trmm,315380.06
3,xcl3,trsm,194085.08
3,xzl3,gemm,215465.45
3,xzl3,hemm,211963.13
3,xzl3,herk,172954.72
3,xzl3,her2k,169942.92
3,xzl3,symm,217388.28
3,xzl3,syr2k,170296.31
3,xzl3,syrk,171692.63
3,xzl3,trmm,187380.73
3,xzl3,trsm,146029.81
3,xdl3,gemm,174470.97
3,xdl3,symm,173033.47
3,xdl3,syrk,126113.43
3,xdl3,syr2k,136053.57
3,xdl3,trmm,143521.97
3,xdl3,trsm,91746.97
3,xsl3,gemm,296306.96
3,xsl3,symm,276002.11
3,xsl3,syrk,213865.95
3,xsl3,syr2k,243007.98
3,xsl3,trmm,223598.47
3,xsl3,trsm,81580.42
4,xcl1,nrm2,2862.96
4,xcl1,amax,1580.18
4,xcl1,asum,1800.72
4,xcl1,axpy,6817.77
4,xcl1,copy,1935.58
4,xcl1,swap,3144.33
4,xcl1,dotc,7522.80
4,xcl1,dotu,7170.21
4,xzl1,nrm2,2575.06
4,xzl1,amax,1471.26
4,xzl1,asum,1651.62
4,xzl1,axpy,3273.51
4,xzl1,copy,913.15
4,xzl1,swap,1527.78
4,xzl1,dotc,3423.41
4,xzl1,dotu,3416.77
4,xdl1,nrm2,557.76
4,xdl1,amax,2208.06
4,xdl1,asum,1616.87
4,xdl1,axpy,1736.58
4,xdl1,copy,940.21
4,xdl1,swap,1587.52
4,xdl1,dot,2168.17
4,xdl1,rotm,4124.68
4,xsl1,nrm2,652.81
4,xsl1,amax,4663.78
4,xsl1,asum,1707.01
4,xsl1,axpy,3970.11
4,xsl1,copy,2113.18
4,xsl1,swap,3579.36
4,xsl1,dot,4955.57
4,xsl1,rotm,6536.61
4,xsl1,dsdot,1773.93
4,xsl1,sdsdot,1771.06
4,xcl2,gbmv,2681.73
4,xcl2,gemv,10393.67
4,xcl2,hbmv,3325.50
4,xcl2,hpmv,4598.37
4,xcl2,hemv,15106.98
4,xcl2,tbmv,2385.33
4,xcl2,tpmv,5944.63
4,xcl2,trmv,9627.67
4,xcl2,tbsv,1072.63
4,xcl2,tpsv,13170.30
4,xcl2,trsv,10167.76
4,xcl2,gerc,7541.51
4,xcl2,geru,7603.25
4,xcl2,ger2c,7514.47
4,xcl2,ger2u,7542.06
4,xcl2,hpr,11373.15
4,xcl2,her,7331.90
4,xcl2,hpr2,20172.21
4,xcl2,her2,11410.46
4,xzl2,gbmv,2994.00
4,xzl2,gemv,5860.37
4,xzl2,hbmv,3398.40
4,xzl2,hpmv,4915.42
4,xzl2,hemv,9606.60
4,xzl2,tbmv,2576.25
4,xzl2,tpmv,4914.17
4,xzl2,trmv,5562.41
4,xzl2,tbsv,972.05
4,xzl2,tpsv,6274.27
4,xzl2,trsv,5796.77
4,xdl2,gbmv,939.05
4,xdl2,gemv,3484.60
4,xdl2,sbmv,1456.95
4,xdl2,spmv,3219.63
4,xdl2,symv,5026.61
4,xdl2,tbmv,612.17
4,xdl2,tpmv,3403.87
4,xdl2,trmv,3338.38
4,xdl2,tbsv,381.27
4,xdl2,tpsv,3673.81
4,xdl2,trsv,3528.13
4,xdl2,ger,2852.15
4,xdl2,ger2,2852.66
4,xdl2,spr,3103.77
4,xdl2,syr,2779.37
4,xdl2,spr2,5721.05
4,xdl2,syr2,5253.25
4,xsl2,gbmv,966.33
4,xsl2,gemv,7147.00
4,xsl2,sbmv,1544.06
4,xsl2,spmv,3541.61
4,xsl2,symv,6057.03
4,xsl2,tbmv,528.47
4,xsl2,tpmv,7350.83
4,xsl2,trmv,6660.08
4,xsl2,tbsv,422.48
4,xsl2,tpsv,8018.07
4,xsl2,trsv,7402.12
4,xsl2,ger,5473.62
4,xsl2,ger2,5531.97
4,xsl2,spr,6589.06
4,xsl2,syr,5306.33
4,xsl2,spr2,12082.52
4,xsl2,syr2,9900.43
4,xcl3,gemm,474052.07
4,xcl3,hemm,467000.80
4,xcl3,herk,344366.12
4,xcl3,her2k,363587.66
4,xcl3,symm,482552.37
4,xcl3,syr2k,374286.02
4,xcl3,syrk,346125.63
4,xcl3,trmm,384853.11
4,xcl3,trsm,242710.76
4,xzl3,gemm,271014.63
4,xzl3,hemm,275948.03
4,xzl3,herk,205595.13
4,xzl3,her2k,212286.80
4,xzl3,symm,273707.75
4,xzl3,syr2k,208242.73
4,xzl3,syrk,201322.18
4,xzl3,trmm,232363.86
4,xzl3,trsm,190042.57
4,xdl3,gemm,221386.87
4,xdl3,symm,211118.15
4,xdl3,syrk,155408.47
4,xdl3,syr2k,164235.46
4,xdl3,trmm,168475.96
4,xdl3,trsm,113030.05
4,xsl3,gemm,369916.43
4,xsl3,symm,366259.08
4,xsl3,syrk,250071.36
4,xsl3,syr2k,287755.03
4,xsl3,trmm,293512.43
4,xsl3,trsm,100732.28
5,xcl1,nrm2,2831.40
5,xcl1,amax,1585.06
5,xcl1,asum,1792.11
5,xcl1,axpy,6755.91
5,xcl1,copy,1934.07
5,xcl1,swap,3134.55
5,xcl1,dotc,7559.18
5,xcl1,dotu,7595.45
5,xzl1,nrm2,2626.46
5,xzl1,amax,1519.55
5,xzl1,asum,1680.41
5,xzl1,axpy,3339.56
5,xzl1,copy,933.05
5,xzl1,swap,1554.41
5,xzl1,dotc,3493.52
5,xzl1,dotu,3477.68
5,xdl1,nrm2,548.90
5,xdl1,amax,2132.22
5,xdl1,asum,1603.15
5,xdl1,axpy,1734.95
5,xdl1,copy,933.38
5,xdl1,swap,1589.93
5,xdl1,dot,2151.26
5,xdl1,rotm,4105.22
5,xsl1,nrm2,649.50
5,xsl1,amax,4640.86
5,xsl1,asum,1696.77
5,xsl1,axpy,3887.68
5,xsl1,copy,2104.48
5,xsl1,swap,3554.31
5,xsl1,dot,4938.03
5,xsl1,rotm,6505.27
5,xsl1,dsdot,1740.03
5,xsl1,sdsdot,1736.07
5,xcl2,gbmv,2650.38
5,xcl2,gemv,10460.56
5,xcl2,hbmv,3334.53
5,xcl2,hpmv,4601.07
5,xcl2,hemv,15099.45
5,xcl2,tbmv,2327.20
5,xcl2,tpmv,5820.51
5,xcl2,trmv,9567.97
5,xcl2,tbsv,1089.75
5,xcl2,tpsv,13046.55
5,xcl2,trsv,10108.47
5,xcl2,gerc,7486.85
5,xcl2,geru,7475.82
5,xcl2,ger2c,7488.23
5,xcl2,ger2u,7512.22
5,xcl2,hpr,11406.70
5,xcl2,her,7343.66
5,xcl2,hpr2,20084.35
5,xcl2,her2,11455.40
5,xzl2,gbmv,3048.55
5,xzl2,gemv,5872.77
5,xzl2,hbmv,3361.56
5,xzl2,hpmv,4927.13
5,xzl2,hemv,9572.08
5,xzl2,tbmv,2552.73
5,xzl2,tpmv,4938.28
5,xzl2,trmv,5528.05
5,xzl2,tbsv,976.87
5,xzl2,tpsv,6291.75
5,xzl2,trsv,5766.80
5,xdl2,gbmv,963.98
5,xdl2,gemv,3477.88
5,xdl2,sbmv,1450.87
5,xdl2,spmv,3207.67
5,xdl2,symv,4981.82
5,xdl2,tbmv,619.11
5,xdl2,tpmv,3443.32
5,xdl2,trmv,3334.27
5,xdl2,tbsv,373.13
5,xdl2,tpsv,3699.41
5,xdl2,trsv,3546.30
5,xdl2,ger,2831.26
5,xdl2,ger2,2848.28
5,xdl2,spr,3082.12
5,xdl2,syr,2799.18
5,xdl2,spr2,5780.72
5,xdl2,syr2,5280.45
5,xsl2,gbmv,992.57
5,xsl2,gemv,7111.93
5,xsl2,sbmv,1505.70
5,xsl2,spmv,3593.02
5,xsl2,symv,6064.20
5,xsl2,tbmv,527.88
5,xsl2,tpmv,7308.86
5,xsl2,trmv,6630.06
5,xsl2,tbsv,428.27
5,xsl2,tpsv,7866.48
5,xsl2,trsv,7374.91
5,xsl2,ger,5482.13
5,xsl2,ger2,5545.90
5,xsl2,spr,6415.51
5,xsl2,syr,5309.26
5,xsl2,spr2,11812.21
5,xsl2,syr2,9910.20
5,xcl3,gemm,552828.03
5,xcl3,hemm,552819.37
5,xcl3,herk,365275.65
5,xcl3,her2k,387245.58
5,xcl3,symm,525073.97
5,xcl3,syr2k,380262.23
5,xcl3,syrk,362599.15
5,xcl3,trmm,426863.08
5,xcl3,trsm,266312.63
5,xzl3,gemm,323594.51
5,xzl3,hemm,312897.76
5,xzl3,herk,236458.50
5,xzl3,her2k,243924.60
5,xzl3,symm,320265.05
5,xzl3,syr2k,233801.51
5,xzl3,syrk,244404.57
5,xzl3,trmm,267255.13
5,xzl3,trsm,209796.06
5,xdl3,gemm,242951.80
5,xdl3,symm,243850.25
5,xdl3,syrk,165737.76
