nthreads,test,routine,MFLOPS
2,xcl2,geru,7536.50
2,xcl2,ger2c,7498.46
2,xcl2,ger2u,7554.95
2,xcl2,hpr,11287.71
2,xcl2,her,7336.60
2,xcl2,hpr2,19935.72
2,xcl2,her2,11523.70
2,xzl2,gbmv,3009.87
2,xzl2,gemv,5822.03
2,xzl2,hbmv,3331.47
2,xzl2,hpmv,4771.50
2,xzl2,hemv,9613.12
2,xzl2,tbmv,2929.00
2,xzl2,tpmv,4922.23
2,xzl2,trmv,5535.80
2,xzl2,tbsv,890.58
2,xzl2,tpsv,6253.86
2,xzl2,trsv,5772.27
2,xdl2,gbmv,945.06
2,xdl2,gemv,3436.92
2,xdl2,sbmv,1240.41
2,xdl2,spmv,3231.93
2,xdl2,symv,5059.13
2,xdl2,tbmv,689.32
2,xdl2,tpmv,3451.06
2,xdl2,trmv,3285.52
2,xdl2,tbsv,349.12
2,xdl2,tpsv,3651.36
2,xdl2,trsv,3480.91
2,xdl2,ger,2818.28
2,xdl2,ger2,2821.38
2,xdl2,spr,3049.61
2,xdl2,syr,2773.37
2,xdl2,spr2,5701.91
2,xdl2,syr2,5207.66
2,xsl2,gbmv,1077.85
2,xsl2,gemv,7000.50
2,xsl2,sbmv,1375.05
2,xsl2,spmv,3543.08
2,xsl2,symv,9411.55
2,xsl2,tbmv,668.68
2,xsl2,tpmv,7076.70
2,xsl2,trmv,6528.12
2,xsl2,tbsv,409.11
2,xsl2,tpsv,7762.43
2,xsl2,trsv,7232.96
2,xsl2,ger,5448.47
2,xsl2,ger2,5423.85
2,xsl2,spr,6424.21
2,xsl2,syr,5221.26
2,xsl2,spr2,11740.67
2,xsl2,syr2,9776.41
2,xcl3,gemm,278170.52
2,xcl3,hemm,272690.46
2,xcl3,herk,209908.58
2,xcl3,her2k,219062.07
2,xcl3,symm,267821.31
2,xcl3,syr2k,214183.11
2,xcl3,syrk,212641.25
2,xcl3,trmm,239159.06
2,xcl3,trsm,138631.05
2,xzl3,gemm,150162.98
2,xzl3,hemm,152159.68
2,xzl3,herk,125589.42
2,xzl3,her2k,123763.02
2,xzl3,symm,152753.40
2,xzl3,syr2k,125252.40
2,xzl3,syrk,124523.56
2,xzl3,trmm,137887.48
2,xzl3,trsm,110596.45
2,xdl3,gemm,129118.72
2,xdl3,symm,127119.28
2,xdl3,syrk,100189.91
2,xdl3,syr2k,106579.03
2,xdl3,trmm,106247.46
2,xdl3,trsm,69408.33
2,xsl3,gemm,223535.21
2,xsl3,symm,220484.95
2,xsl3,syrk,160988.96
2,xsl3,syr2k,189925.05
2,xsl3,trmm,188042.81
2,xsl3,trsm,58039.15
3,xcl1,nrm2,2747.76
3,xcl1,amax,1775.08
3,xcl1,asum,1752.83
3,xcl1,axpy,6787.05
3,xcl1,copy,1966.47
3,xcl1,swap,3165.77
3,xcl1,dotc,7550.86
3,xcl1,dotu,7551.81
3,xzl1,nrm2,2668.32
3,xzl1,amax,1259.25
3,xzl1,asum,1617.78
3,xzl1,axpy,3294.43
3,xzl1,copy,914.50
3,xzl1,swap,1530.27
3,xzl1,dotc,3433.63
3,xzl1,dotu,3437.12
3,xdl1,nrm2,600.01
3,xdl1,amax,2169.23
3,xdl1,asum,1529.86
3,xdl1,axpy,1693.47
3,xdl1,copy,1110.98
3,xdl1,swap,1571.08
3,xdl1,dot,2104.22
3,xdl1,rotm,4072.71
3,xsl1,nrm2,713.77
3,xsl1,amax,4563.70
3,xsl1,asum,1700.27
3,xsl1,axpy,3815.71
3,xsl1,copy,2064.87
3,xsl1,swap,3470.12
3,xsl1,dot,4827.27
3,xsl1,rotm,6472.61
3,xsl1,dsdot,1737.33
3,xsl1,sdsdot,1734.71
3,xcl2,gbmv,2962.23
3,xcl2,gemv,10165.28
3,xcl2,hbmv,3583.61
3,xcl2,hpmv,4519.06
3,xcl2,hemv,15316.76
3,xcl2,tbmv,2445.91
3,xcl2,tpmv,5845.61
3,xcl2,trmv,9250.03
3,xcl2,tbsv,1057.53
3,xcl2,tpsv,13023.17
3,xcl2,trsv,9878.61
3,xcl2,gerc,7549.43
3,xcl2,geru,7538.12
3,xcl2,ger2c,7511.40
3,xcl2,ger2u,7521.32
3,xcl2,hpr,11240.97
3,xcl2,her,7374.15
3,xcl2,hpr2,19881.80
3,xcl2,her2,11573.43
3,xzl2,gbmv,2911.92
3,xzl2,gemv,5804.55
3,xzl2,hbmv,3345.03
3,xzl2,hpmv,4667.06
3,xzl2,hemv,9581.70
3,xzl2,tbmv,3101.38
3,xzl2,tpmv,4897.32
3,xzl2,trmv,5509.96
3,xzl2,tbsv,905.20
3,xzl2,tpsv,6274.45
3,xzl2,trsv,5791.83
3,xdl2,gbmv,935.90
3,xdl2,gemv,3430.76
3,xdl2,sbmv,1290.12
3,xdl2,spmv,3325.00
3,xdl2,symv,5013.90
3,xdl2,tbmv,682.11
3,xdl2,tpmv,3436.30
3,xdl2,trmv,3287.07
3,xdl2,tbsv,368.25
3,xdl2,tpsv,3650.43
3,xdl2,trsv,3472.33
3,xdl2,ger,2811.43
3,xdl2,ger2,2832.65
3,xdl2,spr,3050.21
3,xdl2,syr,2761.03
