core_cnt,run1,run2,run3,run4,run5
1,3150,3230,3230
4,1980,1980,2000
8,1910,1890,1890
12,1870,1880,1860
18,1850,1850,1870
24,1860,1860,1850
48,2390,2370,2370
72,3830,3910,3950
96,4320,4260,4340
