core_cnt,run1,run2,run3,run4,run5
96,151,151,152,151,151
84,175,175,178,177,176
72,123,123,123,123,124
60,154,153,154,150,146
48,142,142,141,141,141
36,162,163,162,162,163
24,190,190,190,190,189
12,298,299,301,298,299
6,500,500,500,511,503
3,935,945,933,945,929
1,2670,2720,2630,2650,2800
