core_cnt,run1,run2,run3,run4,run5
256,283,279,288,290,285
224,455,462,459,456,459
192,199,200,195,198,199
160,319,327,328,327,321
128,163,173,175,178,181
64,157,159,158,157,159
32,201,201,201,200,201
16,249,248,248,249,249
8,393,392,392,392,393
4,716,715,715,715,715
2,1320,1320,1320,1320,1320
1,2540,2540,2540,2540,2540
