core_cnt,run1,run2,run3,run4,run5
96,141,144,147,147,148
84,175,175,174,171,174
72,121,121,122,122,121
60,149,148,149,150,150
48,145,144,145,146,146
36,177,180,178,179,179
24,204,204,204,205,205
12,330,327,323,322,328
6,530,529,529,542,540
3,1010,981,1000,981,988
1,2690,2900,2790,2700,2780
