core_cnt,run1,run2,run3,run4,run5
96,486,430,505,458,511
84,332,336,331,339,334
72,343,345,374,348,338
60,297,300,294,294,296
48,237,227,224,223,222
36,268,267,270,269,265
24,225,228,225,224,219
12,337,339,337,333,337
6,593,597,587,602,601
3,1050,1100,1050,1090,1060
1,3300,3400,3260,3340,3290
